"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	6	1528776	Unreliable
	"1999"	"1999"	"1 year"	"1"	3	1515492	Unreliable
	"1999"	"1999"	"2 years"	"2"	0	1514440	Unreliable
	"1999"	"1999"	"3 years"	"3"	1	1536287	Unreliable
	"1999"	"1999"	"4 years"	"4"	1	1577044	Unreliable
	"1999"	"1999"	"5 years"	"5"	0	1590523	Unreliable
	"1999"	"1999"	"6 years"	"6"	0	1609476	Unreliable
	"1999"	"1999"	"7 years"	"7"	0	1656067	Unreliable
	"1999"	"1999"	"8 years"	"8"	0	1666306	Unreliable
	"1999"	"1999"	"9 years"	"9"	0	1688923	Unreliable
	"1999"	"1999"	"10 years"	"10"	0	1652964	Unreliable
	"1999"	"1999"	"11 years"	"11"	1	1620599	Unreliable
	"1999"	"1999"	"12 years"	"12"	1	1618917	Unreliable
	"1999"	"1999"	"13 years"	"13"	3	1622969	Unreliable
	"1999"	"1999"	"14 years"	"14"	3	1628798	Unreliable
	"1999"	"1999"	"15 years"	"15"	5	1599105	Unreliable
	"1999"	"1999"	"16 years"	"16"	5	1639893	Unreliable
	"1999"	"1999"	"17 years"	"17"	28	1652312	1.695
	"1999"	"1999"	"18 years"	"18"	50	1624251	3.078
	"1999"	"1999"	"19 years"	"19"	51	1659398	3.073
	"1999"	"1999"	"20 years"	"20"	75	1594327	4.704
	"1999"	"1999"	"21 years"	"21"	99	1539356	6.431
	"1999"	"1999"	"22 years"	"22"	83	1508599	5.502
	"1999"	"1999"	"23 years"	"23"	78	1455116	5.360
	"1999"	"1999"	"24 years"	"24"	112	1483737	7.549
	"1999"	"1999"	"25 years"	"25"	103	1480189	6.959
	"1999"	"1999"	"26 years"	"26"	108	1479087	7.302
	"1999"	"1999"	"27 years"	"27"	122	1589274	7.676
	"1999"	"1999"	"28 years"	"28"	119	1688580	7.047
	"1999"	"1999"	"29 years"	"29"	165	1707004	9.666
	"1999"	"1999"	"30 years"	"30"	140	1723156	8.125
	"1999"	"1999"	"31 years"	"31"	146	1607133	9.085
	"1999"	"1999"	"32 years"	"32"	173	1658350	10.432
	"1999"	"1999"	"33 years"	"33"	172	1668073	10.311
	"1999"	"1999"	"34 years"	"34"	221	1790444	12.343
	"1999"	"1999"	"35 years"	"35"	223	1896489	11.759
	"1999"	"1999"	"36 years"	"36"	199	1863064	10.681
	"1999"	"1999"	"37 years"	"37"	283	1888309	14.987
	"1999"	"1999"	"38 years"	"38"	277	1875311	14.771
	"1999"	"1999"	"39 years"	"39"	233	1901950	12.251
	"1999"	"1999"	"40 years"	"40"	262	1926604	13.599
	"1999"	"1999"	"41 years"	"41"	293	1842838	15.899
	"1999"	"1999"	"42 years"	"42"	264	1864862	14.157
	"1999"	"1999"	"43 years"	"43"	286	1769283	16.165
